rel_income,perc_025,perc_05,perc_25,perc_50,perc_75,perc_95,perc_975,perc_mean,perc_std,perc_upper_std,perc_lower_std
25.9,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7794117647058824,0.08134892168199614,0.9421096080698746,0.6167139213418901
24.6,0.75,0.75,0.8,1.0,1.0,1.0,1.0,0.9157894736842106,0.11432486797979033,1.1444392096437912,0.68713973772463
26.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7801724137931034,0.08179489469154659,0.9437622031761966,0.6165826244100102
25.6,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7708333333333334,0.06982754846636609,0.9104884302660655,0.6311782364006012
22.7,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8229508196721304,0.06427400361719814,0.9514988269065267,0.694402812437734
25.3,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7857142857142857,0.08875895031209073,0.9632321863384672,0.6081963850901042
24.8,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.8409090909090909,0.12613124477737825,1.0931715804638475,0.5886466013543344
19.0,0.5,0.5,0.5,0.5,0.5,0.6,0.7799999999999983,0.523809523809524,0.09107651110783732,0.7059625460251986,0.3416565015938493
27.4,0.775,0.8,1.0,1.0,1.0,1.0,1.0,0.95,0.11180339887498948,1.173606797749979,0.726393202250021
20.2,0.5,0.5,0.5,0.75,1.0,1.0,1.0,0.75,0.2672612419124244,1.2845224838248488,0.2154775161751512
25.5,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.78125,0.08373301588213546,0.9487160317642709,0.6137839682357291
26.5,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.8076923076923077,0.10741723110591488,1.0225267699041374,0.5928578454804779
26.7,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7833333333333333,0.08796644381862456,0.9592662209705825,0.6074004456960842
27.7,0.7625,0.775,0.875,1.0,1.0,1.0,1.0,0.9166666666666666,0.14433756729740646,1.2053418012614796,0.6279915320718537
28.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
27.6,0.76875,0.7875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.125,1.1875,0.6875
29.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
27.1,0.75,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,0.11572751247156893,1.1689550249431377,0.7060449750568621
26.6,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7763157894736842,0.07882544191057642,0.9339666732948371,0.6186649056525313
26.8,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.7916666666666666,0.09731236802019036,0.9862914027070473,0.597041930626286
20.1,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.6111111111111112,0.2204792759220492,1.0520696629552095,0.17015255926701278
19.6,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.6,0.20341905108624314,1.0068381021724861,0.1931618978275137
19.2,0.5,0.5,0.5,0.5,0.5,0.7200000000000003,0.8600000000000001,0.5399999999999999,0.12983506020002014,0.7996701204000403,0.28032987959995964
19.3,0.5,0.5,0.5,0.5,0.6,1.0,1.0,0.6307692307692307,0.21363760352762257,1.058044437824476,0.20349402371398562
29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
29.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
30.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
28.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
28.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
19.8,0.5,0.5,0.5,0.5,0.5,0.9499999999999993,1.0,0.5434782608695652,0.14405203276001527,0.8315823263895957,0.25537419534953465
19.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5789473684210527,0.18731716231633877,0.9535816930537302,0.20431304378837511
19.1,0.5,0.5,0.5,0.5,0.5,0.7200000000000003,0.8600000000000001,0.5399999999999999,0.12983506020002014,0.7996701204000403,0.28032987959995964
17.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5954545454545463,0.07096881443831157,0.7373921743311695,0.4535169165779232
18.3,0.5,0.5,0.5,0.5,0.6,0.6,0.7099999999999994,0.5433333333333332,0.09714309861845764,0.7376195305702485,0.3490471360964179
33.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
33.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
32.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
34.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
33.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
33.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
31.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN
